せいそう	s e̞ː s o̞ː
せいそうけん	s e̞ː s o̞ː k ẽ̞ ɴ
せいぞん	s e̞ː z õ̞ ɴ
せいたい	s e̞ː t a̠ i
せいたい	s e̞ː t a̠ i
せいたい	s e̞ː t a̠ i
せいたい	s e̞ː t a̠ i
さいたい	s a̠ i t a̠ i
せいたいがく	s e̞ː t a̠ i ɡ a̠ k ɯ̟ᵝ
せいたいがく	s e̞ː t a̠ i ɡ a̠ k ɯ̟ᵝ
せいたいけい	s e̞ː t a̠ i k e̞ː
せいたいじ	s e̞ː t a̠ i ʑ i
ぜいたく	d͡z e̞ː t a̠ k ɯ̟ᵝ
せいたん	s e̞ː t ã̠ ɴ
セイタン	s e̞ː t ã̠ ɴ
せいたん	s e̞ː t ã̠ ɴ
せいたんさい	s e̞ː t ã̠ ɰ̃ s a̠ i
せいだん	s e̞ː d ã̠ ɴ
せいち	s e̞ː t͡ɕ i
せいち	s e̞ː t͡ɕ i
せいちょう	s e̞ː t͡ɕ o̞ː
せいちょう	s e̞ː t͡ɕ o̞ː
せいちょうそ	s e̞ː t͡ɕ o̞ː s o̞
せいてい	s e̞ː t e̞ː
せいてき	s e̞ː t e̞ kʲ i
せいてきぎゃくたい	s e̞ː t e̞ kʲ i ɡʲ a̠ k ɯ̟̊ᵝ t a̠ i
せいてん	s e̞ː t ẽ̞ ɴ
せいてんかん	s e̞ː t ẽ̞ ŋ k ã̠ ɴ
せいと	s e̞ː t o̞
せいとう	s e̞ː t o̞ː
しょうとく	ɕ o̞ː t o̞ k ɯ̟̊ᵝ
せいど	s e̞ː d o̞
せいどう	s e̞ː d o̞ː
せいどう	s e̞ː d o̞ː
ぜいにく	d͡z e̞ː ɲ̟ i k ɯ̟ᵝ
ぜいぬき	d͡z e̞ː n ɯ̟ᵝ kʲ i
せいねん	s e̞ː n ẽ̞ ɴ
せいねんき	s e̞ː n ẽ̞ ŋʲ kʲ i
せいばい	s e̞ː b a̠ i
せいはい	s e̞ː h a̠ i
せいひつ	s e̞ː ç i t͡s ɨᵝ
せいびょう	s e̞ː bʲ o̞ː
せいふ	s e̞ː ɸ ɯ̟ᵝ
せいふく	s e̞ː ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
せいふんじょ	s e̞ː ɸ ɯ̟̃ᵝ ɲ̟ d͡ʑ o̞
せいぶ	s e̞ː b ɯ̟ᵝ
せいぶつ	s e̞ː b ɯ̟ᵝ t͡s ɨᵝ
せいぶつ	s e̞ː b ɯ̟ᵝ t͡s ɨᵝ
せいぶつが	s e̞ː b ɯ̟ᵝ t͡s ɨᵝ ɡ a̠
せいぶつがく	s e̞ː b ɯ̟ᵝ t͡s ɨᵝ ɡ a̠ k ɯ̟ᵝ
せいぶつけん	s e̞ː b ɯ̟ᵝ t͡s ɨᵝ k ẽ̞ ɴ
せいぶんか	s e̞ː b ɯ̟̃ᵝ ŋ k a̠
せいへん	s e̞ː h ẽ̞ ɴ
せいべつ	s e̞ː b e̞ t͡s ɨᵝ
ぜいべつ	d͡z e̞ː b e̞ t͡s ɨᵝ
せいほう	s e̞ː h o̞ː
せいほう	s e̞ː h o̞ː
せいほん	s e̞ː h õ̞ ɴ
せいぼ	s e̞ː b o̞
せいぼう	s e̞ː b o̞ː
せいみ	s e̞ː mʲ i
まさゆめ	m a̠ s a̠ j ɯ̟ᵝ m e̞
せいめい	s e̞ː m e̞ː
せいめい	s e̞ː m e̞ː
せいめい	s e̞ː m e̞ː
せいめいせつ	s e̞ː m e̞ː s e̞ t͡s ɨᵝ
せいめいたい	s e̞ː m e̞ː t a̠ i
せいもん	s e̞ː m õ̞ ɴ
せいもんおん	s e̞ː m õ̞ ɰ̃ õ̞ ɴ
せいや	s e̞ː j a̠
せいやく	s e̞ː j a̠ k ɯ̟ᵝ
しょうやく	ɕ o̞ː j a̠ k ɯ̟ᵝ
せいやく	s e̞ː j a̠ k ɯ̟ᵝ
せいゆう	s e̞ː j ɯ̟ᵝː
せいよう	s e̞ː j o̞ː
せいようしょうぎ	s e̞ː j o̞ː ɕ o̞ː ɡʲ i
せいようじん	s e̞ː j o̞ː ʑ ĩ ɴ
せいようすもも	s e̞ː j o̞ː s ɨᵝ m o̞ m o̞
せいようふう	s e̞ː j o̞ː ɸ ɯ̟ᵝː
せいようわさび	s e̞ː j o̞ː ɰᵝ a̠ s a̠ bʲ i
せいよく	s e̞ː j o̞ k ɯ̟ᵝ
せいり	s e̞ː ɾʲ i
せいりがく	s e̞ː ɾʲ i ɡ a̠ k ɯ̟ᵝ
ぜいりし	d͡z e̞ː ɾʲ i ɕ i
ぜいりつ	d͡z e̞ː ɾʲ i t͡s ɨᵝ
せいりょう	s e̞ː ɾʲ o̞ː
せいりょく	s e̞ː ɾʲ o̞ k ɯ̟ᵝ
せいれい	s e̞ː ɾ e̞ː
せいれい	s e̞ː ɾ e̞ː
せいれい	s e̞ː ɾ e̞ː
せいろんり	s e̞ː ɾ õ̞ n ɾʲ i
ゼウス	d͡z e̞ ɯ̟ᵝ s ɨᵝ
セーシェル	s e̞ː ɕ e̞ ɾ ɯ̟ᵝ
ゼータ	d͡z e̞ː t a̠
セーター	s e̞ː t a̠ː
せえの	s e̞ː n o̞
セールス	s e̞ː ɾ ɯ̟ᵝ s ɨᵝ
セールスマン	s e̞ː ɾ ɯ̟ᵝ s ɨᵝ m ã̠ ɴ
ゼーレ	d͡z e̞ː ɾ e̞
せかい	s e̞ k a̠ i
せかいかん	s e̞ k a̠ i k ã̠ ɴ
せかいご	s e̞ k a̠ i ɡ o̞
せかいてき	s e̞ k a̠ i t e̞ kʲ i
せかす	s e̞ k a̠ s ɨᵝ
せかせる	s e̞ k a̠ s e̞ ɾ ɯ̟ᵝ
セカント	s e̞ k ã̠ n t o̞
セカンド	s e̞ k ã̠ n d o̞
セガ	s e̞ ɡ a̠
いし	i ɕ i
せき	s e̞ kʲ i
せき	s e̞ kʲ i
しゃくいち	ɕ a̠ k ɯ̟ᵝ i t͡ɕ i
せきうん	s e̞ kʲ i ɯ̟̃ᵝ ɴ
せきえい	s e̞ kʲ i e̞ː
せきえん	s e̞ kʲ i ẽ̞ ɴ
せきがいせん	s e̞ kʲ i ɡ a̠ i s ẽ̞ ɴ
せきがえ	s e̞ kʲ i ɡ a̠ e̞
せきぐん	s e̞ kʲ i ɡ ɯ̟̃ᵝ ɴ
せきじゅうじしゃ	s e̞ kʲ i ʑ ɨᵝː ʑ i ɕ a̠
せきじゅん	s e̞ kʲ i ʑ ɨ̃ᵝ ɴ
せきせい	s e̞ kʲ i s e̞ː
せきせい	s e̞ kʲ i̥ s e̞ː
せきたんき	s e̞ kʲ i̥ t ã̠ ŋʲ kʲ i
せきたんさん	s e̞ kʲ i̥ t ã̠ ɰ̃ s ã̠ ɴ
せきちゅう	s e̞ kʲ i t͡ɕ ɨᵝː
せきとう	s e̞ kʲ i t o̞ː
せきとめる	s e̞ kʲ i t o̞ m e̞ ɾ ɯ̟ᵝ
せきにん	s e̞ kʲ i ɲ̟ ĩ ɴ
せきにんしゃ	s e̞ kʲ i ɲ̟ ĩ ɰ̃ ɕ a̠
せきばく	s e̞ kʲ i b a̠ k ɯ̟ᵝ
せきばらい	s e̞ kʲ i b a̠ ɾ a̠ i
せきらんうん	s e̞ kʲ i ɾ ã̠ ɰ̃ ɯ̟̃ᵝ ɴ
せきり	s e̞ kʲ i ɾʲ i
ざくろ	d͡z a̠ k ɯ̟ᵝ ɾ o̞
せきヶはら	s e̞ kʲ i ɡ a̠ h a̠ ɾ a̠
セクース	s e̞ k ɯ̟ᵝː s ɨᵝ
セクシー	s e̞ k ɯ̟̊ᵝ ɕ iː
セクハラ	s e̞ k ɯ̟̊ᵝ h a̠ ɾ a̠
セクマイ	s e̞ k ɯ̟ᵝ m a̠ i
セクロス	s e̞ k ɯ̟ᵝ ɾ o̞ s ɨᵝ
ぜげん	d͡z e̞ ɡ ẽ̞ ɴ
セザンヌ	s e̞ z ã̠ nː ɯ̟ᵝ
セシウム	s e̞ ɕ i ɯ̟ᵝ m ɯ̟ᵝ
せじ	s e̞ ʑ i
せせらぎ	s e̞ s e̞ ɾ a̠ ɡʲ i
せそん	s e̞ s õ̞ ɴ
せぞく	s e̞ z o̞ k ɯ̟ᵝ
せたいぬし	s e̞ t a̠ i n ɯ̟ᵝ ɕ i
せたけ	s e̞ t a̠ k e̞
せだい	s e̞ d a̠ i
せちがらい	s e̞ t͡ɕ i ɡ a̠ ɾ a̠ i
せっかい	s e̞ k̚ k a̠ i
せっかく	s e̞ k̚ k a̠ k ɯ̟ᵝ
せっかち	s e̞ k̚ k a̠ t͡ɕ i
せっかん	s e̞ k̚ k ã̠ ɴ
せっき	s e̞ k̚ʲ kʲ i
ぜっきょう	d͡z e̞ k̚ʲ kʲ o̞ː
せっきょうしゃ	s e̞ k̚ʲ kʲ o̞ː ɕ a̠
せっきょく	s e̞ k̚ʲ kʲ o̞ k ɯ̟ᵝ
せっきょくてき	s e̞ k̚ʲ kʲ o̞ k ɯ̟ᵝ t e̞ kʲ i
せっきん	s e̞ k̚ʲ kʲ ĩ ɴ
せっく	s e̞ k̚ k ɯ̟ᵝ
セックス	s e̞ k̚ k ɯ̟ᵝ s ɨᵝ
セックス	s e̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
セックスアピール	s e̞ k̚ k ɯ̟ᵝ s ɨᵝ a̠ pʲ iː ɾ ɯ̟ᵝ
せっけいず	s e̞ k̚ k e̞ː z ɨᵝ
せっけっきゅう	s e̞ k̚ k e̞ k̚ʲ kʲ ɨᵝː
せっけん	s e̞ k̚ k ẽ̞ ɴ
せっこう	s e̞ k̚ k o̞ː
せっこう	s e̞ k̚ k o̞ː
せっこう	s e̞ k̚ k o̞ː
ぜっこう	d͡z e̞ k̚ k o̞ː
ぜっこう	d͡z e̞ k̚ k o̞ː
ぜっこうちょう	d͡z e̞ k̚ k o̞ː t͡ɕ o̞ː
せっこつ	s e̞ k̚ k o̞ t͡s ɨᵝ
にわとこ	ɲ̟ i ɰᵝ a̠ t o̞ k o̞
せっさく	s e̞ sː a̠ k ɯ̟ᵝ
ゆきやま	j ɯ̟ᵝ kʲ i j a̠ m a̠
ぜっさん	d͡z e̞ sː ã̠ ɴ
せっし	s e̞ ɕː i
せっしゃ	s e̞ ɕː a̠
せっしゅ	s e̞ ɕː ɯ̟ᵝ
せっしゅ	s e̞ ɕː ɯ̟ᵝ
しょうしょう	ɕ o̞ː ɕ o̞ː
せっしょう	s e̞ ɕː o̞ː
せっしょうせき	s e̞ ɕː o̞ː s e̞ kʲ i
せっしょく	s e̞ ɕː o̞ k ɯ̟ᵝ
せっすい	s e̞ sː ɯ̟ᵝ i
せっせと	s e̞ sː e̞ t o̞
せっせん	s e̞ sː ẽ̞ ɴ
せっそう	s e̞ sː o̞ː
ぜったい	d͡z e̞ t̚ t a̠ i
ぜったい	d͡z e̞ t̚ t a̠ i
ぜったいかく	d͡z e̞ t̚ t a̠ i k a̠ k ɯ̟ᵝ
ぜったいさいしょくしゅぎしゃ	d͡z e̞ t̚ t a̠ i s ḁ i ɕ o̞ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i ɕ a̠
ぜったいち	d͡z e̞ t̚ t a̠ i t͡ɕ i
ぜったいてき	d͡z e̞ t̚ t a̠ i t e̞ kʲ i
ぜったいりょういき	d͡z e̞ t̚ t a̠ i ɾʲ o̞ː i kʲ i
せっちゃく	s e̞ t̚ t͡ɕ a̠ k ɯ̟ᵝ
せっちゃくざい	s e̞ t̚ t͡ɕ a̠ k ɯ̟ᵝ z a̠ i
せっちゅうじ	s e̞ t̚ t͡ɕ ɨᵝː ʑ i
せっちょ	s e̞ t̚ t͡ɕ o̞
ぜっちょう	d͡z e̞ t̚ t͡ɕ o̞ː
せっつ	s e̞ t̚ t͡s ɨᵝ
せってい	s e̞ t̚ t e̞ː
せってん	s e̞ t̚ t ẽ̞ ɴ
せってん	s e̞ t̚ t ẽ̞ ɴ
ゼット	d͡z e̞ t̚ t o̞
セットアップ	s e̞ t̚ t o̞ a̠ p̚ p ɯ̟ᵝ
せっとう	s e̞ t̚ t o̞ː
せっとうご	s e̞ t̚ t o̞ː ɡ o̞
せっとうじ	s e̞ t̚ t o̞ː ʑ i
せっとく	s e̞ t̚ t o̞ k ɯ̟ᵝ
せっとくりょく	s e̞ t̚ t o̞ k ɯ̟ᵝ ɾʲ o̞ k ɯ̟ᵝ
セットリスト	s e̞ t̚ t o̞ ɾʲ i s ɨᵝ t o̞
せっぱく	s e̞ p̚ p a̠ k ɯ̟̊ᵝ
せっぱん	s e̞ p̚ p ã̠ ɴ
ぜっぱん	d͡z e̞ p̚ p ã̠ ɴ
ぜっぴつ	d͡z e̞ p̚ʲ pʲ i t͡s ɨᵝ
せっぴょうがく	s e̞ p̚ʲ pʲ o̞ː ɡ a̠ k ɯ̟ᵝ
ぜっぴん	d͡z e̞ p̚ʲ pʲ ĩ ɴ
せっぷく	s e̞ p̚ p ɯ̟̊ᵝ k ɯ̟ᵝ
せっぷん	s e̞ p̚ p ɯ̟̃ᵝ ɴ
ぜっぺき	d͡z e̞ p̚ p e̞ kʲ i
せっぺん	s e̞ p̚ p ẽ̞ ɴ
せっぽう	s e̞ p̚ p o̞ː
えい	e̞ː
せつ	s e̞ t͡s ɨᵝ
こま	k o̞ m a̠
せつえい	s e̞ t͡s ɨᵝ e̞ː
ぜつえん	d͡z e̞ t͡s ɨᵝ ẽ̞ ɴ
せつえんだ	s e̞ t͡s ɨᵝ ẽ̞ n d a̠
せつげん	s e̞ t͡s ɨᵝ ɡ ẽ̞ ɴ
せつじ	s e̞ t͡s ɨᵝ ʑ i
せつぞく	s e̞ t͡s ɨᵝ z o̞ k ɯ̟ᵝ
せつぞくし	s e̞ t͡s ɨᵝ z o̞ k ɯ̟̊ᵝ ɕ i
せつぞくじょし	s e̞ t͡s ɨᵝ z o̞ k ɯ̟ᵝ ʑ o̞ ɕ i
せつだん	s e̞ t͡s ɨᵝ d ã̠ ɴ
せつだんしゃ	s e̞ t͡s ɨᵝ d ã̠ ɴ
せつだん	s e̞ t͡s ɨᵝ d ã̠ ɴ
せつだんちゅう	s e̞ t͡s ɨᵝ d ã̠ ɲ̟ t͡ɕ ɨᵝː
せつど	s e̞ t͡s ɨᵝ d o̞
せつどう	s e̞ t͡s ɨᵝ d o̞ː
せちな	s e̞ t͡ɕ i n a̠
せつない	s e̞ t͡s ɨᵝ n a̠ i
せつび	s e̞ t͡s ɨᵝ bʲ i
せつびご	s e̞ t͡s ɨᵝ bʲ i ɡ o̞
せつびじ	s e̞ t͡s ɨᵝ bʲ i ʑ i
ぜつふちょう	d͡z e̞ t͡s ɨᵝ ɸ ɯ̟ᵝ t͡ɕ o̞ː
ぜつぼう	d͡z e̞ t͡s ɨᵝ b o̞ː
ぜつぼうてき	d͡z e̞ t͡s ɨᵝ b o̞ː t e̞ kʲ i
ぜつみょう	d͡z e̞ t͡s ɨᵝ mʲ o̞ː
ぜつめつ	d͡z e̞ t͡s ɨᵝ m e̞ t͡s ɨᵝ
ぜつりん	d͡z e̞ t͡s ɨᵝ ɾʲ ĩ ɴ
せつれつ	s e̞ t͡s ɨᵝ ɾ e̞ t͡s ɨᵝ
せつわ	s e̞ t͡s ɨᵝ ɰᵝ a̠
せと	s e̞ t o̞
せとがや	s e̞ t o̞ ɡ a̠ j a̠
せとがや	s e̞ t o̞ ɡ a̠ j a̠
せとぎわ	s e̞ t o̞ ɡʲ i ɰᵝ a̠
せともの	s e̞ t o̞ m o̞ n o̞
せなか	s e̞ n a̠ k a̠
ぜに	d͡z e̞ ɲ̟ i
ぜにがめ	d͡z e̞ ɲ̟ i ɡ a̠ m e̞
ぜにん	d͡z e̞ ɲ̟ ĩ ɴ
セネガル	s e̞ n e̞ ɡ a̠ ɾ ɯ̟ᵝ
ゼネコン	d͡z e̞ n e̞ k õ̞ ɴ
ぜひ	d͡z e̞ ç i
せみ	s e̞ mʲ i
ゼビバイト	d͡z e̞ bʲ i b a̠ i t o̞
ゼビビット	d͡z e̞ bʲ i bʲ i t̚ t o̞
せびろ	s e̞ bʲ i ɾ o̞
ゼブ	d͡z e̞ b ɯ̟ᵝ
セブン	s e̞ b ɯ̟̃ᵝ ɴ
せぼね	s e̞ b o̞ n e̞
せまい	s e̞ m a̠ i
せまる	s e̞ m a̠ ɾ ɯ̟ᵝ
ゼミ	d͡z e̞ mʲ i
セミコロン	s e̞ mʲ i k o̞ ɾ õ̞ ɴ
せみしぐれ	s e̞ mʲ i ɕ i ɡ ɯ̟ᵝ ɾ e̞
セミナー	s e̞ mʲ i n a̠ː
ゼミナール	d͡z e̞ mʲ i n a̠ː ɾ ɯ̟ᵝ
セム	s e̞ m ɯ̟ᵝ
せめて	s e̞ m e̞ t e̞
せめる	s e̞ m e̞ ɾ ɯ̟ᵝ
せめる	s e̞ m e̞ ɾ ɯ̟ᵝ
セメント	s e̞ m ẽ̞ n t o̞
せりあい	s e̞ ɾʲ i a̠ i
きょうごう	kʲ o̞ː ɡ o̞ː
せりあう	s e̞ ɾʲ i a̠ ɯ̟ᵝ
せりあがる	s e̞ ɾʲ i a̠ ɡ a̠ ɾ ɯ̟ᵝ
せりあげる	s e̞ ɾʲ i a̠ ɡ e̞ ɾ ɯ̟ᵝ
セリウム	s e̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
セリフ	s e̞ ɾʲ i ɸ ɯ̟ᵝ
セル	s e̞ ɾ ɯ̟ᵝ
セルフィー	s e̞ ɾ ɯ̟ᵝ ɸʲ iː
セルフサービス	s e̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ s a̠ː bʲ i s ɨᵝ
セルフレジ	s e̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ e̞ ʑ i
セルロイド	s e̞ ɾ ɯ̟ᵝ ɾ o̞ i d o̞
セレナーデ	s e̞ ɾ e̞ n a̠ː d e̞
セレナード	s e̞ ɾ e̞ n a̠ː d o̞
セレブ	s e̞ ɾ e̞ b ɯ̟ᵝ
セレン	s e̞ ɾ ẽ̞ ɴ
セロ	s e̞ ɾ o̞
れい	ɾ e̞ː
ゼロックス	d͡z e̞ ɾ o̞ k̚ k ɯ̟ᵝ s ɨᵝ
セロテープ	s e̞ ɾ o̞ t e̞ː p ɯ̟ᵝ
セロハン	s e̞ ɾ o̞ h ã̠ ɴ
せわ	s e̞ ɰᵝ a̠
いそがしい	i s o̞ ɡ a̠ ɕ iː
せわしない	s e̞ ɰᵝ a̠ ɕ i n a̠ i
せわやき	s e̞ ɰᵝ a̠ j a̠ kʲ i
さき	s a̠ kʲ i
ち	s ẽ̞ ɴ
せん	s ẽ̞ ɴ
うえ	ɯ̟ᵝ e̞
せん	s ẽ̞ ɴ
せん	s ẽ̞ ɴ
ぜん	d͡z ẽ̞ ɴ
ぜん	d͡z ẽ̞ ɴ
ぜん	d͡z ẽ̞ ɴ
ぜんあく	d͡z ẽ̞ ɰ̃ a̠ k ɯ̟ᵝ
ぜんい	d͡z ẽ̞ ɰ̃ i
ぜんえい	d͡z ẽ̞ ɰ̃ e̞ː
ぜんえいてき	d͡z ẽ̞ ɰ̃ e̞ː t e̞ kʲ i
せんえき	s ẽ̞ ɰ̃ e̞ kʲ i
せんえき	s ẽ̞ ɰ̃ e̞ kʲ i
せんえき	s ẽ̞ ɰ̃ e̞ kʲ i
せんえつ	s ẽ̞ ɰ̃ e̞ t͡s ɨᵝ
せんか	s ẽ̞ ŋ k a̠
せんか	s ẽ̞ ŋ k a̠
せんかい	s ẽ̞ ŋ k a̠ i
ぜんかい	d͡z ẽ̞ ŋ k a̠ i
ぜんかい	d͡z ẽ̞ ŋ k a̠ i
ぜんかい	d͡z ẽ̞ ŋ k a̠ i
せんかん	s ẽ̞ ŋ k ã̠ ɴ
ぜんがく	d͡z ẽ̞ ŋ ɡ a̠ k ɯ̟ᵝ
ぜんがく	d͡z ẽ̞ ŋ ɡ a̠ k ɯ̟ᵝ
せんがん	s ẽ̞ ŋ ɡ ã̠ ɴ
ぜんき	d͡z ẽ̞ ŋʲ kʲ i
せんきゃくばんらい	s ẽ̞ ŋʲ kʲ a̠ k ɯ̟ᵝ b ã̠ n ɾ a̠ i
せんきゅう	s ẽ̞ ŋʲ kʲ ɨᵝː
せんきょう	s ẽ̞ ŋʲ kʲ o̞ː
せんきょけん	s ẽ̞ ŋʲ kʲ o̞ k ẽ̞ ɴ
せんきょにん	s ẽ̞ ŋʲ kʲ o̞ ɲ̟ ĩ ɴ
ぜんきん	d͡z ẽ̞ ŋʲ kʲ ĩ ɴ
ぜんぎ	d͡z ẽ̞ ŋʲ ɡʲ i
せんくしゃ	s ẽ̞ ŋ k ɯ̟ᵝ ɕ a̠
せんけいせい	s ẽ̞ ŋ k e̞ː s e̞ː
せんげつ	s ẽ̞ ŋ ɡ e̞ t͡s ɨᵝ
せんげん	s ẽ̞ ŋ ɡ ẽ̞ ɴ
せんげん	s ẽ̞ ŋ ɡ ẽ̞ ɴ
ぜんげん	d͡z ẽ̞ ŋ ɡ ẽ̞ ɴ
せんこう	s ẽ̞ ŋ k o̞ː
せんこう	s ẽ̞ ŋ k o̞ː
せんこう	s ẽ̞ ŋ k o̞ː
ぜんこく	d͡z ẽ̞ ŋ k o̞ k ɯ̟ᵝ
ぜんこく	d͡z ẽ̞ ŋ k o̞ k ɯ̟ᵝ
せんごく	s ẽ̞ ŋ ɡ o̞ k ɯ̟ᵝ
センサ	s ẽ̞ ɰ̃ s a̠
せんさい	s ẽ̞ ɰ̃ s a̠ i
せんざい	s ẽ̞ n d͡z a̠ i
せんざい	s ẽ̞ n d͡z a̠ i
せんざいいちぐう	s ẽ̞ n d͡z a̠ i i t͡ɕ i ɡ ɯ̟ᵝː
せんざいてき	s ẽ̞ n d͡z a̠ i t e̞ kʲ i
せんざんこう	s ẽ̞ n d͡z ã̠ ŋ k o̞ː
せんし	s ẽ̞ ɰ̃ ɕ i
せんし	s ẽ̞ ɰ̃ ɕ i
せんし	s ẽ̞ ɰ̃ ɕ i
せんし	s ẽ̞ ɰ̃ ɕ i
まえば	m a̠ e̞ b a̠
せんしゃ	s ẽ̞ ɰ̃ ɕ a̠
ぜんしゃ	d͡z ẽ̞ ɰ̃ ɕ a̠
せんしゅう	s ẽ̞ ɰ̃ ɕ ɨᵝː
せんしゅう	s ẽ̞ ɰ̃ ɕ ɨᵝː
ぜんしゅう	d͡z ẽ̞ ɰ̃ ɕ ɨᵝː
せんしゅうらく	s ẽ̞ ɰ̃ ɕ ɨᵝː ɾ a̠ k ɯ̟ᵝ
ぜんしょ	d͡z ẽ̞ ɰ̃ ɕ o̞
ぜんしょう	d͡z ẽ̞ ɰ̃ ɕ o̞ː
せんしょくたい	s ẽ̞ ɰ̃ ɕ o̞ k ɯ̟̊ᵝ t a̠ i
せんしんこく	s ẽ̞ ɰ̃ ɕ ĩ ŋ k o̞ k ɯ̟ᵝ
ぜんしんぜんれい	d͡z ẽ̞ ɰ̃ ɕ ĩ n d͡z ẽ̞ n ɾ e̞ː
せんじ	s ẽ̞ ɲ̟ d͡ʑ i
せんじゅつ	s ẽ̞ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
せんじゅつ	s ẽ̞ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
せんにょ	s ẽ̞ ɲ̟ ɲ̟ o̞
ひきがえる	ç i̥ kʲ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
せんじょう	s ẽ̞ ɲ̟ d͡ʑ o̞ː
せんじょう	s ẽ̞ ɲ̟ d͡ʑ o̞ː
せんでき	s ẽ̞ n d e̞ kʲ i
せんすいかん	s ẽ̞ ɰ̃ s ɨᵝ i k ã̠ ɴ
せんずり	s ẽ̞ n d͡z ɨᵝ ɾʲ i
ぜんせ	d͡z ẽ̞ ɰ̃ s e̞
せんせい	s ẽ̞ ɰ̃ s e̞ː
せんせい	s ẽ̞ ɰ̃ s e̞ː
せんせい	s ẽ̞ ɰ̃ s e̞ː
ぜんせいき	d͡z ẽ̞ ɰ̃ s e̞ː kʲ i
せんせいじゅつ	s ẽ̞ ɰ̃ s e̞ː ʑ ɨᵝ t͡s ɨᵝ
せんせき	s ẽ̞ ɰ̃ s e̞ kʲ i
まえじたぼいん	m a̠ e̞ ʑ i t a̠ b o̞ ĩ ɴ
ぜんぜん	d͡z ẽ̞ n d͡z ẽ̞ ɴ
せんそう	s ẽ̞ ɰ̃ s o̞ː
せんそう	s ẽ̞ ɰ̃ s o̞ː
ぜんそう	d͡z ẽ̞ ɰ̃ s o̞ː
せんぞ	s ẽ̞ n d͡z o̞
せんぞく	s ẽ̞ n d͡z o̞ k ɯ̟ᵝ
センター	s ẽ̞ n t a̠ː
せんたい	s ẽ̞ n t a̠ i
せんたい	s ẽ̞ n t a̠ i
ぜんたい	d͡z ẽ̞ n t a̠ i
ぜんたい	d͡z ẽ̞ n t a̠ i
ぜんたいしゅぎ	d͡z ẽ̞ n t a̠ i ɕ ɨᵝ ɡʲ i
ぜんたいてき	d͡z ẽ̞ n t a̠ i t e̞ kʲ i
せんたく	s ẽ̞ n t a̠ k ɯ̟ᵝ
せんたくばさみ	s ẽ̞ n t a̠ k ɯ̟ᵝ b a̠ s a̠ mʲ i
せんたくや	s ẽ̞ n t a̠ k ɯ̟ᵝ j a̠
せんたくき	s ẽ̞ n t a̠ k ɯ̟̊ᵝ kʲ i
せんたん	s ẽ̞ n t ã̠ ɴ
ぜんたん	d͡z ẽ̞ n t ã̠ ɴ
せんたんきょだいしょう	s ẽ̞ n t ã̠ ŋʲ kʲ o̞ d a̠ i ɕ o̞ː
せんだい	s ẽ̞ n d a̠ i
せんだい	s ẽ̞ n d a̠ i
せんだん	s ẽ̞ n d ã̠ ɴ
センチ	s ẽ̞ ɲ̟ t͡ɕ i
せついん	s e̞ t͡s ɨᵝ ĩ ɴ
ぜんち	d͡z ẽ̞ ɲ̟ t͡ɕ i
ぜんちし	d͡z ẽ̞ ɲ̟ t͡ɕ i ɕ i
センチメートル	s ẽ̞ ɲ̟ t͡ɕ i m e̞ː t o̞ ɾ ɯ̟ᵝ
せんちゃ	s ẽ̞ ɲ̟ t͡ɕ a̠
ぜんちゅう	d͡z ẽ̞ ɲ̟ t͡ɕ ɨᵝː
せんちょう	s ẽ̞ ɲ̟ t͡ɕ o̞ː
ぜんちょう	d͡z ẽ̞ ɲ̟ t͡ɕ o̞ː
せんてい	s ẽ̞ n t e̞ː
ぜんてい	d͡z ẽ̞ n t e̞ː
せんてつ	s ẽ̞ n t e̞ t͡s ɨᵝ
せんてん	s ẽ̞ n t ẽ̞ ɴ
せんてん	s ẽ̞ n t ẽ̞ ɴ
センテンス	s ẽ̞ n t ẽ̞ ɰ̃ s ɨᵝ
せんてんてき	s ẽ̞ n t ẽ̞ n t e̞ kʲ i
せんでん	s ẽ̞ n d ẽ̞ ɴ
せん	s ẽ̞ ɴ
せんとう	s ẽ̞ n t o̞ː
せんとう	s ẽ̞ n t o̞ː
せんとう	s ẽ̞ n t o̞ː
ぜんとう	d͡z ẽ̞ n t o̞ː
せんとうき	s ẽ̞ n t o̞ː kʲ i
せんとうふく	s ẽ̞ n t o̞ː ɸ ɯ̟ᵝ k ɯ̟ᵝ
ぜんとうよう	d͡z ẽ̞ n t o̞ː j o̞ː
セントジョージズ	s ẽ̞ n t o̞ ʑ o̞ː ʑ i z ɨᵝ
ぜんとようよう	d͡z ẽ̞ n t o̞ j o̞ː j o̞ː
セントルシア	s ẽ̞ n t o̞ ɾ ɯ̟ᵝ ɕ i a̠
せんど	s ẽ̞ n d o̞
ぜんど	d͡z ẽ̞ n d o̞
やまみち	j a̠ m a̠ mʲ i t͡ɕ i
